name,slug,category,status,shortDescription,websiteUrl,logoUrl,twitterUrl,discordUrl,docsUrl,longDescription,coreFeatures,targetUsers,riskNotes,tags,isFeatured,featuredOrder
项目名称,项目链接名可留空自动生成,项目分类必填,项目状态必填,一句话简介必填,官网链接必填,Logo图片链接可选,Twitter或X链接可选,Discord链接可选,文档链接可选,项目长简介可选,核心功能多个用英文分号分隔,已停用字段留空,已停用字段留空,标签多个用英文分号分隔,是否精选true或false,精选排序数字可留空
"HyperSwap","hyperswap","DEX","Live","HyperSwap 是 HyperEVM 原生 AMM DEX 和流动性中心，支持代币兑换、流动性提供和生态交易路由。","https://app.hyperswap.exchange","","https://x.com/HyperSwap","","https://docs.hyperswap.exchange/hyperswap","HyperSwap 是 HyperEVM 上的原生去中心化交易协议，核心产品是 AMM 和流动性池。它为 HyperEVM 生态用户提供代币兑换、流动性提供和收益获取入口，也为生态项目提供基础交易和流动性层。随着 HyperSwap Terminal 等功能扩展，它还在向更完整的交易入口演进。","AMM 代币兑换;流动性池;LP 费用收益;HyperEVM 原生流动性层;交易终端入口","","","DEX;AMM;Liquidity;HyperEVM;Native","false",""
"Ventuals","ventuals","HIP-3","Live","Ventuals 是基于 Hyperliquid HIP-3 的永续市场平台，面向私营科技公司估值和主题指数提供链上交易市场。","https://ventuals.com","","https://x.com/ventuals","","https://docs.ventuals.com/","Ventuals 是建立在 Hyperliquid HIP-3 标准上的永续合约市场平台，目标是把前沿科技公司、私营公司估值和主题指数带到链上交易场景。用户可以通过 Ventuals 对 AI、机器人、太空、防务、加密等领域的公司估值或指数进行多空交易。它扩展了 Hyperliquid 从加密资产到更广泛真实世界市场的覆盖范围。","私营公司估值永续;主题指数永续;HIP-3 builder-deployed markets;USDH 结算;最高杠杆交易","","","HIP-3;Perps;RWA;Private Markets;Indices;Hyperliquid","false",""
"Markets by Kinetiq","markets-by-kinetiq","HIP-3","Live","Markets by Kinetiq 是 Kinetiq 推出的 HIP-3 永续交易市场，支持股票、指数、货币和大宗商品等 24/7 链上交易。","https://markets.xyz","","https://x.com/markets_xyz","","https://kinetiq.xyz/docs/launch-hip-3","Markets by Kinetiq 是 Kinetiq 在 Hyperliquid 上推出的 HIP-3 永续市场产品，围绕 equities、indices、currencies 和 commodities 等资产提供 24/7/365 的链上永续合约交易。它结合 Kinetiq 的 HYPE 质押基础设施和 HIP-3 市场部署能力，帮助更多团队和交易者进入 builder-deployed perpetual markets。","HIP-3 永续市场;股票与指数交易;货币与大宗商品市场;Kinetiq 生态集成;24/7 链上交易","","","HIP-3;Perps;Markets;Kinetiq;RWA;TradFi","false",""
"tradeXYZ","tradexyz","HIP-3","Live","tradeXYZ 是 Hyperliquid HIP-3 生态中的多资产永续交易入口，支持股票、指数、大宗商品和外汇等链上市场。","https://trade.xyz","","https://x.com/tradexyz","","https://docs.trade.xyz/","tradeXYZ 是 Hyperliquid HIP-3 生态中最重要的多资产永续交易入口之一。它让用户可以访问 XYZ HIP-3 DEX 上的股票、指数、大宗商品、外汇以及其他链上永续市场。XYZ 协议负责市场参数、预言机来源、杠杆限制和市场配置，而 tradeXYZ 则提供面向交易者的前端入口。","多资产永续交易;股票与指数 Perps;商品与外汇市场;HIP-3 DEX 接入;XYZ 市场前端","","","HIP-3;Perps;Equities;Commodities;FX;RWA","false",""
"HyENA","hyena","HIP-3","Live","HyENA 是由 Based 团队开发、Ethena 支持的 HIP-3 永续 DEX，使用 USDe 作为保证金资产。","https://hyena.trade","","","","https://docs.hyena.trade/","HyENA 是构建在 Hyperliquid HIP-3 Builder-Deployed Perpetuals 框架上的永续 DEX，核心特点是使用 USDe 作为保证金资产，并围绕更高资金效率和交易奖励机制设计。HyENA 由 Based 团队开发，并得到 Ethena 生态支持，目标是在 Hyperliquid 上快速推出新的 USDe 保证金永续市场。","USDe 保证金永续;HIP-3 市场部署;自定义市场参数;交易奖励机制;Based 与 Ethena 生态协作","","","HIP-3;Perps;USDe;Ethena;Based;HyENA","false",""
"Dreamcash","dreamcash","HIP-3","Live","Dreamcash 是 Hyperliquid 移动交易应用，并推出 CASH HIP-3 市场，支持新的链上交易资产。","https://dreamcashapp.com/","","","","https://docs.dreamcash.xyz/","Dreamcash 是面向 Hyperliquid 的移动端交易界面，提供永续合约、现货资产和链上市场访问。其 CASH 产品是直接部署在 Hyperliquid 上的 HIP-3 市场，与 Selini Capital 和 Tether 相关合作推进新的资产市场。Dreamcash 重点服务希望在手机上完成自托管交易、入金和参与 HIP-3 市场的用户。","移动端 Hyperliquid 交易;CASH HIP-3 市场;永续与现货交易;自托管钱包体验;法币入金入口","","","HIP-3;Mobile;Perps;Trading App;CASH;Hyperliquid","false",""
"pvp.trade","pvp-trade","HIP-3","Live","pvp.trade 是 Hyperliquid Telegram 交易机器人，支持在群聊中开仓、跟踪仓位、排行榜和社交化交易。","https://pvp.trade","","","","https://docs.pvp.trade/","pvp.trade 是围绕 Hyperliquid 构建的 Telegram 交易机器人，用户可以在 Telegram 群聊中使用命令进行永续和现货交易、查看市场、管理仓位、设置止盈止损，并与朋友进行排行榜和社交化交易互动。它更像是 Hyperliquid 交易入口和社交交易层，也可作为用户接触 HIP-3 市场的轻量入口。","Telegram 交易机器人;群聊实时交易;仓位跟踪;排行榜与社交交易;Hyperliquid 市场接入","","","HIP-3;Trading Bot;Telegram;Social Trading;Hyperliquid;Perps","false",""
"Based","based","HIP-3","Live","Based 是面向 Hyperliquid 的多端交易平台，提供移动端、网页端和 Telegram Bot 的一体化交易体验。","https://www.trybased.world/","","","","","Based 是专为 Hyperliquid 构建的多端交易平台，覆盖 Web、移动端和 Telegram Bot。它提供永续与现货交易、高级订单、推荐返佣和更适合移动端的操作体验。Based 也是 HyENA 背后的主要团队之一，因此在 Hyperliquid 和 HIP-3 生态中兼具交易前端与 builder 角色。","多端 Hyperliquid 交易;移动端交易体验;高级订单;Telegram Bot;HyENA builder 生态关联","","","HIP-3;Trading Interface;Mobile;Telegram;Based;HyENA","false",""
"Dexari","dexari","HIP-3","Live","Dexari 是由 Hyperliquid 提供底层流动性的自托管移动交易平台，支持永续、现货、图表和高级订单。","https://dexari.com/","","https://x.com/Dexari","","https://help.dexari.com/","Dexari 是一个移动优先的自托管加密交易平台，底层由 Hyperliquid 的高性能去中心化订单簿提供支持。用户可以在 Dexari 中交易永续合约和现货市场，使用高级图表、通知、止盈止损、TWAP 等功能。它不是单一 HIP-3 部署方，更准确地说是 Hyperliquid 交易入口，但可以作为用户访问 Hyperliquid 和相关市场的重要前端。","移动端永续交易;自托管钱包;高级订单与图表;Hyperliquid 订单簿接入;现货与 Perps 市场","","","HIP-3;Trading Interface;Mobile;Wallet;Perps;Hyperliquid","false",""
"Liquid Labs","liquid-labs","DEX","Live","Liquid Labs 为 HyperEVM 提供 LiquidCore、LiquidSwap 和 LiquidLaunch 等 DeFi 基础设施，其中 LiquidSwap 聚合主要 DEX 流动性。","https://liqd.ag/","","","","https://docs.liqd.ag/","Liquid Labs 是面向 HyperEVM 的 DeFi 基础设施团队，产品包括 LiquidCore、LiquidSwap 和 LiquidLaunch。LiquidCore 使用 Hyperliquid 预言机进行定价，LiquidSwap 聚合 HyperEVM 上主要去中心化交易所的流动性，为用户提供更优交易路由。它更准确地属于 DEX / DeFi 基础设施，而不是严格意义上的 HIP-3 永续市场。","LiquidCore Oracle DEX;LiquidSwap DEX 聚合;LiquidLaunch 发射平台;HyperEVM 流动性路由;DeFi 基础设施","","","DEX;DEX Aggregator;LiquidSwap;LiquidCore;HyperEVM;Infrastructure","false",""